"고객주소시군구(CUSTM_GU_NM)","고객주소행정동(CUSTM_DONG_NM)","가맹점주소시군구(STORE_GU_NM)","가맹점주소행정동(STORE_DONG_NM)","업종(UPJONG_NM)","일별(DATE)","성별(GENDER)","연령대별(AGE_GR)","카드이용금액(USE_AMT)","카드이용건수(USE_CNT)"
"강남구","공덕동","서대문구","영등포동","가정식","20190111","F","30대초",254880,14.64
"노원구","월계3동","성북구","신도림동","일식","20180916","M","70대이상",319275,181.08
"강서구","상도1동","광진구","종로1.2.3.4가동","양식","20190811","M","20대초",2164320,170.28
"성동구","양재2동","서초구","당산2동","가정식","20190411","M","50대후",423000,24.8
"강서구","장위2동","서대문구","반포2동","베이커리","20190115","M","30대초",99200,138.32
"마포구","공덕동","강남구","종로1.2.3.4가동","단품요리 전문","20180801","M","20대후",515100,176.76
"강서구","신촌동","종로구","한강로동","가정식","20191130","F","30대초",3145792,103.74
"성북구","돈암2동","중구","사당2동","베이커리","20190602","F","40대후",556800,37.76
"노원구","응암1동","마포구","한강로동","주스","20170302","F","20대후",1333800,182.52
"강서구","성북동","구로구","염창동","햄버거","20170716","F","60대후",1782000,181.8
"용산구","신수동","영등포구","잠실2동","양식","20180309","F","40대후",12120000,181.08
"용산구","논현2동","서초구","서교동","단품요리 전문","20190911","M","60대초",257400,98.8
"송파구","남가좌1동","마포구","반포4동","단품요리 전문","20180705","M","30대후",3090600,88.16
"마포구","진관동","마포구","서초1동","양식","20170124","F","20대후",8112384,54.01
"은평구","방배3동","성북구","혜화동","가정식","20180527","M","40대후",2088456,179.64
"강남구","방학3동","성북구","신길4동","분식","20180311","M","20대후",718560,177.84
"노원구","응봉동","마포구","역삼1동","단품요리 전문","20170211","F","20대후",8035560,178.56
"마포구","녹번동","성동구","서초2동","커피","20180915","F","20대초",2535120,165.2
"성북구","신정3동","송파구","잠실본동","단품요리 전문","20190901","M","30대초",150570,120.72
"영등포구","휘경1동","강북구","역삼1동","샌드위치/토스트","20191201","F","20대후",915680,119.04
"강남구","화곡4동","구로구","보라매동","단품요리 전문","20180414","F","20대후",167040,180.36
"강서구","역삼1동","강남구","잠실본동","단품요리 전문","20190706","M","40대초",326040,170.28
"서초구","한남동","마포구","신촌동","단품요리 전문","20171216","F","60대초",333450,10.08
"마포구","신대방1동","강남구","성수2가3동","베이커리","20170609","M","30대초",1419840,100.2
"강동구","공덕동","동작구","동선동","단품요리 전문","20181218","F","30대후",674560,4.92
"관악구","길음1동","영등포구","신촌동","커피","20190217","F","20대초",355680,170.28
"성북구","공덕동","서초구","서림동","가정식","20190122","F","30대초",1796400,74.85
"영등포구","휘경2동","광진구","반포1동","단품요리 전문","20190903","F","50대후",2436120,92.8
"영등포구","신당5동","서대문구","이태원1동","가정식","20180708","F","30대초",2058496,65.91
"강동구","대방동","동작구","도봉1동","햄버거","20191213","F","30대초",636300,200.4
"은평구","보문동","서초구","사직동","커피","20190817","F","50대초",51272,167.04
"양천구","둔촌1동","강남구","서교동","베이커리","20190222","M","30대초",227040,181.8
"서초구","능동","종로구","사직동","단품요리 전문","20190415","F","60대초",354750,169.2
"동대문구","암사2동","송파구","신촌동","가정식","20171121","M","30대후",7042980,30.36
"광진구","중곡2동","마포구","망원1동","가정식","20170216","M","20대후",476844,87.84
"중랑구","응암1동","동작구","서교동","단품요리 전문","20190202","F","20대후",526400,179.64
"양천구","이촌1동","영등포구","압구정동","피자","20181015","F","30대후",8653680,176.04
"마포구","중계1동","마포구","목1동","단품요리 전문","20191215","F","50대후",850824,58.92
"영등포구","오류2동","용산구","한강로동","일식","20180226","M","50대후",276640,5.05
"노원구","원효로1동","강남구","신촌동","양식","20191224","F","40대후",5157360,30.06
"성동구","구로5동","서대문구","구로5동","가정식","20171125","F","20대후",508560,180.36
"성북구","응암2동","서초구","삼전동","가정식","20170223","M","40대초",1010016,174.6
"노원구","수궁동","강남구","압구정동","단품요리 전문","20170910","M","20대후",5321088,180.36
"서대문구","시흥4동","노원구","사근동","가정식","20181214","M","40대후",708480,276.65
"성동구","공릉1동","종로구","오금동","단품요리 전문","20180804","F","20대초",681120,179.64
"관악구","화양동","서대문구","종로1.2.3.4가동","가정식","20190622","F","30대후",2323080,181.8
"강동구","신내1동","관악구","역삼1동","커피","20190614","F","20대초",931860,177.48
"관악구","방학1동","강서구","압구정동","단품요리 전문","20171123","F","30대초",1093680,157.74
"영등포구","고덕2동","동작구","가산동","단품요리 전문","20190609","M","30대후",3996720,167.04
"강서구","낙성대동","종로구","노량진1동","햄버거","20170425","F","30대초",160050,180.36
"강서구","왕십리도선동","용산구","청룡동","가정식","20191204","F","50대후",4508460,169.92
"성북구","문정1동","영등포구","반포4동","단품요리 전문","20170419","M","20대초",300600,178.2
"마포구","신정3동","성북구","서교동","가정식","20171128","F","50대후",4928040,54.01
"영등포구","약수동","서대문구","조원동","단품요리 전문","20180703","F","30대후",1071360,180.36
"성북구","사근동","서초구","일원1동","단품요리 전문","20190616","M","20대후",311080,181.8
"강서구","자양3동","종로구","장안1동","가정식","20170922","F","30대초",1272600,182.52
"종로구","수유1동","서초구","남영동","구내식당/푸드코트","20170122","F","30대초",2464560,92.91
"구로구","상암동","마포구","종로1.2.3.4가동","가정식","20171008","F","60대후",2459520,351.36
"동작구","독산3동","중구","양평2동","커피","20190608","M","20대후",628725,128.7
"강동구","공덕동","중구","서교동","단품요리 전문","20190221","F","20대후",636336,70.5
"중랑구","창2동","서초구","혜화동","아이스크림/빙수","20190814","M","20대후",6110500,136.35
"종로구","쌍문4동","송파구","신대방2동","가정식","20180516","M","20대초",667760,176.76
"성북구","도림동","마포구","상암동","가정식","20190420","M","20대초",4903140,90.9
"종로구","돈암2동","서초구","삼성1동","패밀리 레스토랑","20191021","M","40대초",3201120,167.04
"금천구","구로1동","종로구","신촌동","햄버거","20180304","M","30대초",565632,106.05
"광진구","창1동","강남구","노량진1동","중식","20190310","F","30대후",151040,88.56
"서대문구","길동","마포구","화양동","구내식당/푸드코트","20170904","M","20대후",1833960,119.76
"마포구","가양1동","은평구","송천동","피자","20190114","M","40대후",1579470,35.35
"도봉구","행당2동","서초구","구로3동","베이커리","20170830","M","30대후",1296240,178.56
"양천구","쌍문3동","종로구","대치2동","가정식","20191117","F","20대후",5433120,69.02
"동대문구","연희동","강북구","압구정동","구내식당/푸드코트","20170123","F","20대후",873000,108.68
"마포구","영등포본동","금천구","대방동","단품요리 전문","20171027","F","40대후",1803600,198.4
"서대문구","행당1동","영등포구","삼청동","일식","20170625","F","20대후",244000,177.84
"양천구","청림동","마포구","구로5동","단품요리 전문","20170214","M","20대초",5329764,169.2
"강북구","대방동","성동구","상계1동","베이커리","20170511","F","30대후",545400,88.74
"영등포구","신촌동","양천구","잠실본동","가정식","20180525","M","40대초",15649920,178.56
"용산구","신사동","강남구","장안1동","가정식","20190320","F","50대초",6018705,141.9
"송파구","신내1동","동대문구","종로1.2.3.4가동","햄버거","20180723","F","20대초",655485,175.68
"영등포구","구로3동","서초구","신촌동","단품요리 전문","20180212","M","50대후",2181600,25.25
"강서구","장안2동","용산구","삼청동","단품요리 전문","20191012","F","70대이상",3283380,10.1
"동대문구","잠실2동","금천구","서초2동","단품요리 전문","20191101","M","60대초",1628400,18.56
"동작구","당산2동","종로구","반포4동","단품요리 전문","20171106","F","40대초",563625,125.25
"은평구","방화1동","종로구","노량진1동","가정식","20180122","M","30대후",5293080,181.44
"서초구","후암동","강남구","가산동","피자","20170114","F","50대초",2445768,180.36
"양천구","행당1동","영등포구","낙성대동","단품요리 전문","20191227","F","30대초",543240,176.76
"동작구","충현동","종로구","서교동","단품요리 전문","20190310","F","30대초",9705960,4.94
"영등포구","홍제1동","강남구","구로3동","가정식","20190924","M","20대후",44370,169.92
"동대문구","도화동","동대문구","소공동","치킨","20191113","M","30대초",735150,14.88
"도봉구","중화2동","서초구","가산동","단품요리 전문","20181125","M","70대이상",866264,45.09
"서초구","장위2동","종로구","명동","일식","20180624","M","30대초",757512,181.8
"은평구","방화3동","송파구","공덕동","단품요리 전문","20170624","M","50대초",879872,60.6
"도봉구","한강로동","광진구","회현동","가정식","20180718","M","20대후",1590680,101
"관악구","우장산동","종로구","창신1동","햄버거","20180714","M","50대후",2520216,177.84
"송파구","고척2동","강남구","이태원1동","가정식","20190120","F","50대초",668160,181.8
"동작구","효창동","관악구","용강동","커피","20180512","M","20대후",4266450,99.8
"중랑구","제기동","강동구","부암동","단품요리 전문","20181026","F","20대후",849600,146.45
"강서구","효창동","구로구","불광2동","중식","20190420","F","20대후",5533920,112.24
"노원구","불광2동","동작구","양재1동","피자","20180722","M","30대후",1972410,64.48
"송파구","묵1동","마포구","방배2동","햄버거","20171116","F","30대초",2765730,56.4
"마포구","양평2동","동작구","천연동","단품요리 전문","20180630","F","50대후",8181000,181.8
"관악구","양재1동","은평구","양재1동","분식","20190602","F","40대후",1772550,49.9
"동작구","신정6동","영등포구","낙성대동","베이커리","20181201","M","20대후",4017600,70.56
"강남구","독산4동","중구","안암동","샌드위치/토스트","20190630","F","20대후",1466640,149.7
"강동구","은천동","강동구","신당동","가정식","20170422","M","20대후",382400,70.98
"관악구","진관동","성동구","화양동","중식","20180319","F","40대초",98800,170.28
"성북구","정릉1동","용산구","연희동","커피","20170725","F","40대후",14362200,69.02
"성북구","왕십리도선동","용산구","서초4동","샌드위치/토스트","20181212","F","20대후",1889280,167.04
"중랑구","상암동","구로구","상계1동","가정식","20170126","F","50대후",1019520,167.04
"구로구","방화2동","강남구","회현동","단품요리 전문","20170220","F","20대초",49900,177.84
"관악구","신내2동","금천구","합정동","가정식","20170107","F","60대초",704160,126.88
"종로구","면목5동","강서구","군자동","커피","20170219","M","40대후",7423920,181.44
"관악구","사당1동","마포구","회현동","분식","20180116","M","30대초",969600,10.14
"강북구","금호2.3가동","영등포구","합정동","분식","20180722","M","20대초",133840,177.48
"양천구","일원본동","송파구","신당동","가정식","20171011","M","40대후",1233792,177.84
"강북구","신내1동","서대문구","길동","가정식","20170808","F","20대후",993300,87.3
"강동구","연남동","마포구","연남동","단품요리 전문","20170818","F","30대초",757500,106.05
"은평구","북가좌2동","동작구","서림동","가정식","20190419","M","30대초",413402,94.6
"동작구","우장산동","중구","수서동","중식","20180804","M","40대초",139308,139.2
"동작구","성내1동","강남구","구의3동","가정식","20180301","M","20대후",7499520,181.8
"구로구","망원1동","중구","광희동","단품요리 전문","20180910","M","40대후",3696840,167.96
"용산구","화곡본동","용산구","가락2동","단품요리 전문","20170809","F","30대초",1719120,33.46
"관악구","원효로1동","노원구","상계2동","분식","20180713","M","30대후",1036260,39.68
"구로구","중계2.3동","마포구","서교동","일식","20190207","F","40대후",4509000,4.96
"노원구","마장동","마포구","길음1동","햄버거","20180418","F","50대후",1322400,9.92
"서초구","거여1동","동대문구","화양동","양식","20170711","M","60대초",1825200,176.04
"양천구","신정6동","관악구","서교동","가정식","20180617","M","40대후",1458288,69.44
"관악구","성산2동","동대문구","공항동","단품요리 전문","20180915","M","20대후",3041568,91.08
"노원구","동화동","서대문구","종로1.2.3.4가동","가정식","20190921","M","20대후",58200,98.2
"강남구","대방동","종로구","동선동","중식","20170322","F","20대후",1272600,14.1
"동대문구","사당1동","서초구","을지로동","단품요리 전문","20190425","M","40대후",346788,180.36
"중구","구로3동","종로구","전농1동","피자","20191210","F","40대후",1818000,172.08
"성북구","상도4동","영등포구","서교동","단품요리 전문","20190827","F","20대후",582304,163.02
"서초구","금호2.3가동","강남구","목1동","베이커리","20180715","F","20대후",407430,176.76
"동작구","보라매동","종로구","청량리동","단품요리 전문","20171105","F","40대후",2354040,174.6
"구로구","양재2동","영등포구","역삼1동","단품요리 전문","20170127","F","40대초",738815,10.08
"성북구","방이2동","종로구","대치2동","단품요리 전문","20170429","F","20대초",306280,136.89
"종로구","방학1동","강남구","동선동","분식","20181031","F","60대초",942720,167.62
"강서구","서초1동","금천구","종로1.2.3.4가동","도시락","20170728","F","20대초",363600,35.35
"강서구","우장산동","서대문구","화양동","햄버거","20170410","F","20대후",1151500,175.68
"강서구","문정1동","동대문구","충현동","피자","20190512","F","30대초",1778400,181.44
"동대문구","창신2동","종로구","역삼1동","커피","20180522","M","50대후",343700,121.2
"서대문구","자양4동","도봉구","양재2동","가정식","20190214","F","30대후",241440,37.6
"마포구","상암동","서대문구","구로3동","베이커리","20180512","F","20대후",596190,112.8
"강서구","장위3동","서초구","서초2동","일식","20191203","M","30대후",801960,70.95
"서초구","구로5동","서대문구","종로1.2.3.4가동","단품요리 전문","20181130","M","20대후",198660,39.28
"송파구","중계1동","동대문구","양평2동","단품요리 전문","20190420","M","40대후",1133236,177.84
"동작구","삼전동","서대문구","신대방2동","가정식","20180922","F","20대후",3908160,4.99
"송파구","청운효자동","관악구","소공동","구내식당/푸드코트","20170408","M","50대후",969600,98.8
"영등포구","망우3동","구로구","증산동","가정식","20190626","F","20대초",2139620,75.15
"서대문구","사근동","서대문구","상계6.7동","주스","20170609","M","20대초",1738140,355.68
"광진구","사당3동","노원구","성수1가1동","분식","20170416","F","20대후",1362240,30.3
"노원구","보문동","종로구","성수2가1동","중식","20180101","M","60대초",291525,169.92
"노원구","목2동","용산구","반포3동","양식","20190814","F","20대후",2126360,118.08
"금천구","신내1동","성북구","방이2동","중식","20181008","F","40대초",4949280,88.92
"관악구","신림동","종로구","서교동","중식","20170823","F","20대후",11239488,84.32
"용산구","남가좌2동","서대문구","연남동","단품요리 전문","20191218","M","40대후",590400,106.05
"관악구","불광2동","강남구","문래동","단품요리 전문","20170525","M","20대초",2171988,88.02
"은평구","고척1동","성북구","신촌동","단품요리 전문","20170209","F","20대후",5761500,157.74
"도봉구","중앙동","성동구","성수2가1동","가정식","20191103","F","20대후",15543900,91.08
"은평구","인헌동","관악구","역삼1동","치킨","20170613","M","30대후",3513510,167.04
"마포구","이촌1동","서초구","구의1동","기사식당","20170524","F","40대초",224202,169.2
"구로구","가양3동","강남구","묵1동","단품요리 전문","20171218","M","30대후",294255,85.17
"성동구","대흥동","강서구","동선동","양식","20170820","F","30대후",5278680,86.19
"강북구","청룡동","동작구","능동","단품요리 전문","20190530","F","30대초",846450,79.36
"중구","충현동","동작구","여의동","가정식","20181217","M","50대초",851076,177.84
"금천구","번1동","은평구","난곡동","가정식","20190113","F","20대후",21150,34.65
"강북구","월곡1동","마포구","행당1동","가정식","20170221","M","20대후",211680,130.78
"노원구","역촌동","서대문구","대흥동","단품요리 전문","20190531","F","20대후",337249,14.16
"용산구","보라매동","서초구","명동","가정식","20181222","F","30대초",603600,44.28
"강서구","중계2.3동","동대문구","중화2동","가정식","20180718","F","50대후",7136640,181.08
"성북구","개봉3동","노원구","상계1동","커피","20190201","M","30대초",1503360,174.6
"도봉구","목3동","영등포구","노량진1동","단품요리 전문","20191014","F","30대초",3150000,14.19
"중랑구","방배3동","광진구","발산1동","동남아/인도음식","20170212","M","30대후",1166784,70.56
"강남구","방학3동","중랑구","방이2동","일식","20180104","F","20대후",1054690,59.52
"관악구","월곡2동","광진구","신사동","커피","20180316","F","40대초",1892880,169.2
"동작구","신대방1동","강동구","압구정동","구내식당/푸드코트","20191207","F","20대초",273240,181.8
"성북구","청량리동","구로구","목1동","분식","20170516","M","20대초",1818000,181.8
"강서구","필동","성동구","창4동","햄버거","20190118","M","20대초",802445,181.8
"강북구","장안1동","마포구","이문1동","가정식","20190912","F","20대후",5251320,77.6
"송파구","화양동","도봉구","신촌동","단품요리 전문","20171129","F","50대초",651456,227.04
