index,Nat,Team,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Twizzle,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
136,🇪🇪,Šipunova / Korjagin 126,2,0,0,0,0,109.48n=2,63.74n=2,61.82n=2,47.66n=2,5.80n=4,6.92n=4,1.12n=4,4.87n=4,4.70n=4,4.68n=4
137,🇨🇭,Gabet / Evéquoz,1,0,0,0,0,108.33n=1,59.75n=1,59.54n=1,49.79n=1,5.47n=2,7.44n=2,1.29n=2,5.07n=2,4.98n=2,4.88n=2
138,🇩🇪,Hemcke / Sladkov,1,0,0,0,0,107.55n=1,60.99n=1,62.19n=1,45.36n=1,5.46n=2,6.82n=2,1.72n=2,4.54n=2,4.54n=2,4.44n=2
139,🇨🇿,Stanclova / Kostron,1,0,0,0,0,107.15n=1,61.87n=1,62.01n=1,46.14n=1,5.58n=2,6.74n=2,1.52n=2,4.64n=2,4.56n=2,4.62n=2
140,🇫🇮,Taylor / Buchholdt,2,0,0,0,0,105.94n=2,59.94n=2,58.84n=2,47.09n=2,6.41n=4,7.00n=4,1.18n=4,4.82n=4,4.67n=4,4.60n=4
141,🇩🇰,Incardona / Drozd Musil,0,1,0,0,0,104.99n=1,66.54n=1,60.67n=1,44.32n=1,4.06n=2,5.92n=2,1.58n=4,4.62n=2,4.48n=2,4.18n=2
142,🇨🇿,Batkova / Yang,2,0,0,0,0,104.88n=2,59.79n=2,58.77n=2,47.62n=2,4.95n=4,7.04n=4,1.35n=4,4.92n=4,4.74n=4,4.66n=4
143,🇰🇿,Shelaeva / Solovyev 135,2,0,0,0,0,100.58n=2,61.64n=2,57.88n=2,43.70n=2,5.76n=4,5.89n=4,1.53n=3,4.44n=4,4.35n=4,4.30n=4
144,🇪🇸,Pascual Mateos / Parra Almonacid,1,0,0,0,0,99.69n=1,58.87n=1,54.89n=1,44.80n=1,4.46n=2,6.72n=2,1.52n=2,4.54n=2,4.43n=2,4.43n=2
145,🇧🇬,Lutay / Riaskin,2,0,0,0,0,99.14n=2,62.12n=2,56.90n=2,42.24n=2,5.70n=4,6.28n=4,1.22n=4,4.36n=4,4.24n=4,4.07n=4
146,🇪🇸,Marcilly Vazquez / Engel,1,0,0,0,0,98.24n=1,56.75n=1,54.16n=1,44.08n=1,3.48n=2,7.34n=2,1.06n=2,4.54n=2,4.30n=2,4.42n=2
147,🇫🇮,Kesti / Liedenpohja 139,1,0,0,0,0,97.27n=1,57.50n=1,54.41n=1,42.86n=1,5.37n=2,6.52n=2,1.02n=2,4.43n=2,4.28n=2,4.20n=2
148,🇪🇨,Palomeque / White,0,1,0,0,0,94.26n=1,68.05n=1,57.38n=1,38.88n=1,4.40n=2,5.14n=2,1.26n=4,4.16n=2,3.88n=2,3.66n=2
149,🇰🇷,Yoo / Grant,2,0,0,0,0,90.90n=2,59.06n=2,53.36n=2,39.04n=2,5.50n=4,6.46n=4,0.73n=4,4.06n=4,3.78n=4,3.87n=4
150,🇭🇺,Szilágyi / Jaracs 142,2,0,0,0,0,90.50n=2,55.63n=2,48.83n=2,42.16n=2,2.97n=4,5.14n=4,1.50n=3,4.40n=4,4.08n=4,4.14n=4
151,🇦🇺,Yuen / Ma,2,0,0,0,0,89.36n=2,61.69n=2,54.28n=2,35.08n=2,4.99n=4,5.78n=4,0.86n=4,3.65n=4,3.38n=4,3.51n=4
152,🇫🇮,Laine / Reina,1,0,0,0,0,86.10n=1,59.88n=1,51.36n=1,34.74n=1,6.15n=2,5.32n=2,1.02n=2,3.68n=2,3.42n=2,3.38n=2
153,🇪🇪,Beljajeva / Merilo,1,0,0,0,0,83.41n=1,57.12n=1,47.21n=1,36.20n=1,3.81n=2,5.32n=2,1.13n=2,3.74n=2,3.66n=2,3.42n=2
154,🇺🇦,Rekunova / Fediankin,1,0,0,0,0,71.24n=1,53.62n=1,41.62n=1,29.62n=1,3.14n=2,4.58n=2,0.70n=2,3.09n=2,2.88n=2,2.88n=2
155,🇹🇼,Chan / Huang,1,0,0,0,0,68.97n=1,56.49n=1,42.73n=1,26.24n=1,5.02n=2,4.46n=2,0.77n=2,2.82n=2,2.50n=2,2.55n=2
